Пост мониторинга,Период,NO2,O3,H2S,CO,SO2,"Температура, °С","Давление, мм рт. ст.","Влажность, %","Скорость ветра, м/с","Направление ветра, °"
Площадка 21 414,2025-04-23 03:20:00,28.2980000000,26.0640000000,0.2590000000,349.9050000000,0.5840000000,7.4550000000,759.4974589721,81.4550000000,0.3450000000,69.7500000000
Площадка 21 414,2025-04-23 03:40:00,27.9940000000,25.5870000000,0.3890000000,351.4540000000,0.5500000000,7.5800000000,759.5124602058,80.7200000000,0.5090000000,51.3500000000
Площадка 21 414,2025-04-23 04:00:00,28.1920000000,25.4370000000,0.3640000000,352.6500000000,0.5080000000,7.6600000000,759.5274614394,80.4750000000,0.4160000000,62.6000000000
Площадка 21 414,2025-04-23 04:20:00,28.2560000000,24.6160000000,0.4710000000,358.8890000000,0.5850000000,7.7450000000,759.6174688414,79.9500000000,0.4400000000,55.6000000000
Площадка 21 414,2025-04-23 04:40:00,28.7150000000,25.1600000000,0.3890000000,359.8360000000,0.5920000000,7.7600000000,759.6699731592,79.5200000000,0.5790000000,66.1000000000
Площадка 21 414,2025-04-23 05:00:00,29.8880000000,25.6290000000,0.4120000000,347.3440000000,0.5280000000,7.7850000000,759.6924750097,79.5400000000,0.9680000000,100.7000000000
Площадка 21 414,2025-04-23 05:20:00,29.9330000000,26.5200000000,0.3340000000,348.9460000000,0.4660000000,7.5700000000,759.6174688414,80.0550000000,1.3390000000,87.0500000000
Площадка 21 414,2025-04-23 05:40:00,29.1920000000,24.8210000000,0.4100000000,344.2720000000,0.4060000000,7.8550000000,759.5949669909,79.7750000000,0.9860000000,82.3500000000
Площадка 21 414,2025-04-23 06:00:00,29.8710000000,28.6850000000,0.3050000000,353.1030000000,0.5420000000,8.1700000000,759.5574639067,79.0300000000,1.1680000000,75.6500000000
Площадка 21 414,2025-04-23 06:20:00,29.0030000000,27.4260000000,0.2820000000,357.4390000000,0.5110000000,8.6500000000,759.4899583553,77.6600000000,0.7900000000,91.3500000000
Площадка 21 414,2025-04-23 06:40:00,28.4380000000,28.8220000000,0.2080000000,351.5330000000,0.4610000000,9.0050000000,759.4899583553,76.5800000000,1.2160000000,86.9000000000
Площадка 21 414,2025-04-23 07:00:00,28.7420000000,26.4250000000,0.3160000000,360.1270000000,0.4580000000,9.2700000000,759.4974589721,75.9850000000,0.9350000000,85.4500000000
Площадка 21 414,2025-04-23 07:20:00,28.2000000000,27.7200000000,0.1420000000,350.9190000000,0.4980000000,9.5300000000,759.3849497196,75.3550000000,1.3850000000,84.6500000000
Площадка 21 414,2025-04-23 07:40:00,27.4660000000,27.0160000000,0.2010000000,349.6510000000,0.3520000000,9.4400000000,759.4374540375,76.0900000000,1.4650000000,93.6000000000
Площадка 21 414,2025-04-23 08:00:00,27.4320000000,27.8270000000,0.2660000000,352.7220000000,0.3770000000,9.8350000000,759.3249447850,74.8900000000,1.3180000000,87.0000000000
Площадка 21 414,2025-04-23 08:20:00,27.3860000000,27.6830000000,0.2670000000,347.7820000000,0.5390000000,10.5700000000,759.2574392335,72.6650000000,1.4020000000,104.9000000000
Площадка 21 414,2025-04-23 08:40:00,27.6690000000,27.5540000000,0.2520000000,347.2440000000,0.5330000000,10.8750000000,759.2049349157,71.3850000000,1.6450000000,99.9500000000
Площадка 21 414,2025-04-23 09:00:00,28.4570000000,28.3530000000,0.3070000000,352.1540000000,0.4400000000,12.0150000000,759.0774244296,68.1450000000,1.6010000000,110.0000000000
Площадка 21 414,2025-04-23 09:20:00,28.8510000000,28.8700000000,0.4900000000,345.7400000000,0.4190000000,13.6100000000,758.9349127098,62.6400000000,1.6850000000,103.4000000000
Площадка 21 414,2025-04-23 09:40:00,29.4470000000,31.0700000000,0.2060000000,346.6390000000,0.4830000000,14.3500000000,758.7999016069,59.5050000000,1.5860000000,88.9500000000
Площадка 21 414,2025-04-23 10:00:00,30.6460000000,32.0110000000,0.1900000000,347.3350000000,0.5000000000,14.5150000000,758.6498892703,58.7900000000,1.3780000000,80.7000000000
Площадка 21 414,2025-04-23 10:20:00,31.7920000000,32.8860000000,0.1070000000,350.8610000000,0.5880000000,15.7550000000,758.5673824852,55.6500000000,0.5120000000,38.9000000000
Площадка 21 414,2025-04-23 10:40:00,33.4440000000,32.6970000000,0.3090000000,357.3540000000,0.5370000000,16.4500000000,758.3798670644,53.4800000000,0.6470000000,108.2000000000
Площадка 21 414,2025-04-23 11:00:00,33.2180000000,32.8560000000,0.2080000000,356.9040000000,0.3530000000,16.7750000000,758.2748584288,52.6300000000,0.6070000000,76.3500000000
Площадка 21 414,2025-04-23 11:20:00,33.0240000000,34.1970000000,0.2270000000,357.1700000000,0.5450000000,17.0350000000,758.0498399239,51.9250000000,0.3760000000,90.1500000000
Площадка 21 414,2025-04-23 11:40:00,33.7750000000,36.1480000000,0.2460000000,354.5140000000,0.5250000000,17.1050000000,757.7498152507,51.8250000000,0.5290000000,57.2500000000
Площадка 21 414,2025-04-23 12:00:00,36.0560000000,34.9250000000,0.2400000000,356.8100000000,0.5030000000,17.4850000000,757.5397979795,50.7300000000,0.6580000000,96.3000000000
